Iteration: 49000, Loss: 239.41860961914062, Base Loss: 239.41766357421875, Regularisation Term: 0.0009441188303753734, Hessian Trace: -3.0726516246795654
Iteration: 49000, Loss: 244.2004852294922, Base Loss: 244.199951171875, Regularisation Term: 0.0005349593120627105, Hessian Trace: -2.3129189014434814
Iteration: 50000, Loss: 237.01905822753906, Base Loss: 237.0174560546875, Regularisation Term: 0.001605296041816473, Hessian Trace: -4.0066142082214355
Iteration: 50000, Loss: 245.11183166503906, Base Loss: 245.11056518554688, Regularisation Term: 0.001263138372451067, Hessian Trace: -3.5540659427642822
Iteration: 51000, Loss: 240.7848663330078, Base Loss: 240.78404235839844, Regularisation Term: 0.000827423355076462, Hessian Trace: -2.8764965534210205
Iteration: 51000, Loss: 248.7619171142578, Base Loss: 248.760986328125, Regularisation Term: 0.0009253222378902137, Hessian Trace: -3.0419111251831055
Iteration: 52000, Loss: 242.599365234375, Base Loss: 242.5986328125, Regularisation Term: 0.0007345653139054775, Hessian Trace: -2.7102866172790527
Iteration: 52000, Loss: 247.918701171875, Base Loss: 247.91835021972656, Regularisation Term: 0.00034423821489326656, Hessian Trace: -1.8553658723831177
Iteration: 53000, Loss: 240.3975067138672, Base Loss: 240.3966827392578, Regularisation Term: 0.0008205595659092069, Hessian Trace: -2.8645410537719727
Iteration: 53000, Loss: 246.0747833251953, Base Loss: 246.0731658935547, Regularisation Term: 0.0016153913456946611, Hessian Trace: -4.019193172454834
Iteration: 54000, Loss: 239.2837677001953, Base Loss: 239.28318786621094, Regularisation Term: 0.0005859558586962521, Hessian Trace: -2.420652389526367
Iteration: 54000, Loss: 247.2728271484375, Base Loss: 247.27198791503906, Regularisation Term: 0.0008404633263126016, Hessian Trace: -2.8990745544433594
Iteration: 55000, Loss: 239.0665283203125, Base Loss: 239.06504821777344, Regularisation Term: 0.001477981684729457, Hessian Trace: -3.8444528579711914
Iteration: 55000, Loss: 252.78306579589844, Base Loss: 252.78216552734375, Regularisation Term: 0.0009046611376106739, Hessian Trace: -3.007758855819702
Iteration: 56000, Loss: 236.95018005371094, Base Loss: 236.9488525390625, Regularisation Term: 0.0013321713777258992, Hessian Trace: -3.6498923301696777
Iteration: 56000, Loss: 246.1802978515625, Base Loss: 246.17904663085938, Regularisation Term: 0.0012443151790648699, Hessian Trace: -3.5274853706359863
Iteration: 57000, Loss: 243.76876831054688, Base Loss: 243.76795959472656, Regularisation Term: 0.0008120550774037838, Hessian Trace: -2.8496580123901367
Iteration: 57000, Loss: 242.78201293945312, Base Loss: 242.78134155273438, Regularisation Term: 0.0006665877299383283, Hessian Trace: -2.581836223602295
Iteration: 58000, Loss: 248.080322265625, Base Loss: 248.07936096191406, Regularisation Term: 0.0009601707570254803, Hessian Trace: -3.0986621379852295
Iteration: 58000, Loss: 244.9354705810547, Base Loss: 244.9347686767578, Regularisation Term: 0.0007084910175763071, Hessian Trace: -2.6617496013641357
Iteration: 59000, Loss: 238.9351043701172, Base Loss: 238.93431091308594, Regularisation Term: 0.0007949593709781766, Hessian Trace: -2.819502353668213
Iteration: 59000, Loss: 245.97476196289062, Base Loss: 245.97366333007812, Regularisation Term: 0.0011022936087101698, Hessian Trace: -3.3200807571411133
Iteration: 60000, Loss: 238.15139770507812, Base Loss: 238.15045166015625, Regularisation Term: 0.0009483878966420889, Hessian Trace: -3.0795907974243164
Iteration: 60000, Loss: 241.32754516601562, Base Loss: 241.32688903808594, Regularisation Term: 0.0006578624015673995, Hessian Trace: -2.56488299369812
Iteration: 61000, Loss: 233.94769287109375, Base Loss: 233.94679260253906, Regularisation Term: 0.0009074797853827477, Hessian Trace: -3.0124404430389404
Iteration: 61000, Loss: 243.94200134277344, Base Loss: 243.9409637451172, Regularisation Term: 0.001044572563841939, Hessian Trace: -3.231984853744507
Iteration: 62000, Loss: 235.20330810546875, Base Loss: 235.20245361328125, Regularisation Term: 0.0008483391720801592, Hessian Trace: -2.912626266479492
Iteration: 62000, Loss: 244.62034606933594, Base Loss: 244.61929321289062, Regularisation Term: 0.0010583925759419799, Hessian Trace: -3.2532947063446045
Iteration: 63000, Loss: 229.8587188720703, Base Loss: 229.8578338623047, Regularisation Term: 0.000879177765455097, Hessian Trace: -2.9650931358337402
Iteration: 63000, Loss: 246.77322387695312, Base Loss: 246.7720947265625, Regularisation Term: 0.0011337369214743376, Hessian Trace: -3.367100954055786
Iteration: 64000, Loss: 242.53504943847656, Base Loss: 242.53407287597656, Regularisation Term: 0.0009744831477291882, Hessian Trace: -3.121671199798584
Iteration: 64000, Loss: 248.6153106689453, Base Loss: 248.61436462402344, Regularisation Term: 0.0009530645911581814, Hessian Trace: -3.087174654006958
Iteration: 65000, Loss: 235.49041748046875, Base Loss: 235.4892578125, Regularisation Term: 0.0011602923041209579, Hessian Trace: -3.406306505203247
Iteration: 65000, Loss: 248.3452606201172, Base Loss: 248.34439086914062, Regularisation Term: 0.0008674723794683814, Hessian Trace: -2.94528865814209
Iteration: 66000, Loss: 231.65573120117188, Base Loss: 231.6548309326172, Regularisation Term: 0.0009005762403830886, Hessian Trace: -3.000960350036621
Iteration: 66000, Loss: 243.86952209472656, Base Loss: 243.86862182617188, Regularisation Term: 0.0009069931111298501, Hessian Trace: -3.0116326808929443
Iteration: 67000, Loss: 237.60142517089844, Base Loss: 237.59971618652344, Regularisation Term: 0.001716108643449843, Hessian Trace: -4.142594337463379
Iteration: 67000, Loss: 245.7657470703125, Base Loss: 245.76434326171875, Regularisation Term: 0.0014046429423615336, Hessian Trace: -3.747856855392456
Iteration: 68000, Loss: 248.44406127929688, Base Loss: 248.4432373046875, Regularisation Term: 0.0008315332815982401, Hessian Trace: -2.883631944656372
Iteration: 68000, Loss: 245.19125366210938, Base Loss: 245.19024658203125, Regularisation Term: 0.0010005505755543709, Hessian Trace: -3.1631481647491455
Iteration: 69000, Loss: 234.22422790527344, Base Loss: 234.22332763671875, Regularisation Term: 0.00089915661374107, Hessian Trace: -2.998594045639038
Iteration: 69000, Loss: 245.8474578857422, Base Loss: 245.84603881835938, Regularisation Term: 0.0014136042445898056, Hessian Trace: -3.7597930431365967
Iteration: 70000, Loss: 238.13623046875, Base Loss: 238.13504028320312, Regularisation Term: 0.0011971778003498912, Hessian Trace: -3.4600257873535156
Iteration: 70000, Loss: 242.68301391601562, Base Loss: 242.68203735351562, Regularisation Term: 0.0009728398872539401, Hessian Trace: -3.1190383434295654
Iteration: 71000, Loss: 242.0074920654297, Base Loss: 242.00721740722656, Regularisation Term: 0.0002711649576667696, Hessian Trace: -1.646708607673645
Iteration: 71000, Loss: 246.3836212158203, Base Loss: 246.38284301757812, Regularisation Term: 0.0007791217067278922, Hessian Trace: -2.7912752628326416
Iteration: 72000, Loss: 243.35726928710938, Base Loss: 243.35614013671875, Regularisation Term: 0.0011273686541244388, Hessian Trace: -3.357630968093872
Iteration: 72000, Loss: 242.26231384277344, Base Loss: 242.26133728027344, Regularisation Term: 0.0009838647674769163, Hessian Trace: -3.136662006378174
Iteration: 73000, Loss: 238.5576171875, Base Loss: 238.55674743652344, Regularisation Term: 0.000868101604282856, Hessian Trace: -2.9463562965393066
Iteration: 73000, Loss: 248.1717529296875, Base Loss: 248.17074584960938, Regularisation Term: 0.001000185846351087, Hessian Trace: -3.162571668624878
Iteration: 74000, Loss: 230.775390625, Base Loss: 230.77392578125, Regularisation Term: 0.0014629227807745337, Hessian Trace: -3.824817180633545
Iteration: 74000, Loss: 244.20034790039062, Base Loss: 244.19883728027344, Regularisation Term: 0.0015157399466261268, Hessian Trace: -3.8932507038116455
Iteration: 75000, Loss: 237.33251953125, Base Loss: 237.33175659179688, Regularisation Term: 0.0007563758990727365, Hessian Trace: -2.7502288818359375
Iteration: 75000, Loss: 241.9976348876953, Base Loss: 241.99676513671875, Regularisation Term: 0.0008723496575839818, Hessian Trace: -2.953556776046753
Iteration: 76000, Loss: 242.01199340820312, Base Loss: 242.01119995117188, Regularisation Term: 0.0008003102848306298, Hessian Trace: -2.8289756774902344
Iteration: 76000, Loss: 246.83555603027344, Base Loss: 246.8346405029297, Regularisation Term: 0.0009167102398350835, Hessian Trace: -3.0277223587036133
Iteration: 77000, Loss: 239.9274444580078, Base Loss: 239.92648315429688, Regularisation Term: 0.0009538546437397599, Hessian Trace: -3.088453769683838
Iteration: 77000, Loss: 245.87574768066406, Base Loss: 245.87445068359375, Regularisation Term: 0.0013039082987233996, Hessian Trace: -3.6109671592712402
Iteration: 78000, Loss: 238.96749877929688, Base Loss: 238.9654083251953, Regularisation Term: 0.0020945188589394093, Hessian Trace: -4.576591491699219
Iteration: 78000, Loss: 249.5655975341797, Base Loss: 249.56471252441406, Regularisation Term: 0.000880205538123846, Hessian Trace: -2.9668259620666504
Iteration: 79000, Loss: 234.96902465820312, Base Loss: 234.96791076660156, Regularisation Term: 0.0011085469741374254, Hessian Trace: -3.3294849395751953
Iteration: 79000, Loss: 245.9938507080078, Base Loss: 245.99273681640625, Regularisation Term: 0.0011082423152402043, Hessian Trace: -3.3290274143218994
Iteration: 80000, Loss: 233.72865295410156, Base Loss: 233.72703552246094, Regularisation Term: 0.0016147817950695753, Hessian Trace: -4.018434524536133
Iteration: 80000, Loss: 247.2843017578125, Base Loss: 247.28189086914062, Regularisation Term: 0.0024092933163046837, Hessian Trace: -4.9084553718566895
Iteration: 81000, Loss: 234.66781616210938, Base Loss: 234.6667022705078, Regularisation Term: 0.0011131658684462309, Hessian Trace: -3.336414098739624
Iteration: 81000, Loss: 242.66607666015625, Base Loss: 242.66461181640625, Regularisation Term: 0.0014696231810376048, Hessian Trace: -3.833566665649414
Iteration: 82000, Loss: 239.28656005859375, Base Loss: 239.28555297851562, Regularisation Term: 0.001010344480164349, Hessian Trace: -3.17859148979187
Iteration: 82000, Loss: 243.9720916748047, Base Loss: 243.97145080566406, Regularisation Term: 0.000641423393972218, Hessian Trace: -2.5326340198516846
Iteration: 83000, Loss: 237.43215942382812, Base Loss: 237.43092346191406, Regularisation Term: 0.0012322429101914167, Hessian Trace: -3.510331630706787
