Iteration: 51000, Loss: 155.6066131591797, Base Loss: 155.6066131591797, Regularisation Term: -0.0, Hessian Trace: -12.608538627624512
Iteration: 51000, Loss: 157.70623779296875, Base Loss: 157.70623779296875, Regularisation Term: -0.0, Hessian Trace: -13.761861801147461
Iteration: 52000, Loss: 156.0214385986328, Base Loss: 156.0214385986328, Regularisation Term: -0.0, Hessian Trace: -13.447039604187012
Iteration: 52000, Loss: 157.5502166748047, Base Loss: 157.5502166748047, Regularisation Term: -0.0, Hessian Trace: -13.767999649047852
Iteration: 53000, Loss: 152.5021514892578, Base Loss: 152.5021514892578, Regularisation Term: -0.0, Hessian Trace: -14.694664001464844
Iteration: 53000, Loss: 157.07618713378906, Base Loss: 157.07618713378906, Regularisation Term: -0.0, Hessian Trace: -13.95422649383545
Iteration: 54000, Loss: 153.56976318359375, Base Loss: 153.56976318359375, Regularisation Term: -0.0, Hessian Trace: -13.447652816772461
Iteration: 54000, Loss: 157.0953826904297, Base Loss: 157.0953826904297, Regularisation Term: -0.0, Hessian Trace: -13.429061889648438
Iteration: 55000, Loss: 157.03684997558594, Base Loss: 157.03684997558594, Regularisation Term: -0.0, Hessian Trace: -17.631284713745117
Iteration: 55000, Loss: 156.89488220214844, Base Loss: 156.89488220214844, Regularisation Term: -0.0, Hessian Trace: -17.2462158203125
Iteration: 56000, Loss: 161.4462432861328, Base Loss: 161.4462432861328, Regularisation Term: -0.0, Hessian Trace: -17.669170379638672
Iteration: 56000, Loss: 156.8336944580078, Base Loss: 156.8336944580078, Regularisation Term: -0.0, Hessian Trace: -16.382732391357422
Iteration: 57000, Loss: 154.27992248535156, Base Loss: 154.27992248535156, Regularisation Term: -0.0, Hessian Trace: -13.567375183105469
Iteration: 57000, Loss: 157.00527954101562, Base Loss: 157.00527954101562, Regularisation Term: -0.0, Hessian Trace: -13.379173278808594
Iteration: 58000, Loss: 164.90443420410156, Base Loss: 164.90443420410156, Regularisation Term: -0.0, Hessian Trace: -14.697638511657715
Iteration: 58000, Loss: 156.05690002441406, Base Loss: 156.05690002441406, Regularisation Term: -0.0, Hessian Trace: -13.597856521606445
Iteration: 59000, Loss: 152.80953979492188, Base Loss: 152.80953979492188, Regularisation Term: -0.0, Hessian Trace: -15.115409851074219
Iteration: 59000, Loss: 156.42601013183594, Base Loss: 156.42601013183594, Regularisation Term: -0.0, Hessian Trace: -15.933436393737793
Iteration: 60000, Loss: 154.60902404785156, Base Loss: 154.60902404785156, Regularisation Term: -0.0, Hessian Trace: -12.137035369873047
Iteration: 60000, Loss: 156.61793518066406, Base Loss: 156.61793518066406, Regularisation Term: -0.0, Hessian Trace: -13.382457733154297
